a52dec 0.8.0-3.1
aalib 1.4rc5-19.1
abseil-cpp 20260107.1-1.1
accountsservice 26.13.3-1.1
acl 2.3.2-2.1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.17.0-1.2
alsa-card-profiles 1:1.6.6-1.1
alsa-firmware 1.2.4-4
alsa-lib 1.2.15.3-2.1
alsa-plugins 1:1.2.12-5.1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
alsa-utils 1.2.15.2-2.1
ananicy-cpp 1.2.0-1.1
aom 3.14.1-1.1
archlinux-keyring 20260420-2
aribb24 1.0.3-4.1
aribb25 0.2.7-3.1
at-spi2-core 2.60.4-1.1
atkmm 2.28.5-1.1
attr 2.5.2-2.1
audit 4.1.4-2.1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc4-1.1
awesome-terminal-fonts 1.1.0-5
base 3-3
base-devel 1-2
bash 5.3.9-2
bash-completion 2.17.0-3
bat 0.26.1-2.1
bind 9.20.23-1.1
binutils 2.46+r70+g155188ea10a7-2
bison 3.8.2-8.1
bluez 5.86-6.1
bluez-hid2hci 5.86-6.1
bluez-libs 5.86-6.1
bluez-obex 5.86-6.1
bluez-utils 5.86-6.1
boost-libs 1.91.0-1.1
bpf 7.0.10-1
brotli 1.2.0-1.1
btop 1.4.7-1.1
btrfs-progs 7.0-1
bubblewrap 0.11.2-1.1
bzip2 1.0.8-6.1
ca-certificates 20240618-1
ca-certificates-mozilla 3.124-1.1
ca-certificates-utils 20240618-1
cachyos-ananicy-rules 1:1.1.38-1
cachyos-fish-config 15-1
cachyos-grub-theme 1.0.0-1
cachyos-hello 0.24.0-1
cachyos-hooks 2026.02.05-1
cachyos-kernel-manager 1.18.1-1
cachyos-keyring 20240331-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 27-1
cachyos-packageinstaller 1.6.2-1
cachyos-plymouth-bootanimation 2-3
cachyos-plymouth-theme 1-1
cachyos-rate-mirrors 23-1
cachyos-settings 1:1.3.5-1
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
cachyos-wallpapers r23.964263e-1
cachyos-zsh-config 1.0.3-1
cairo 1.18.4-1.1
cairomm 1.14.5-3.1
cairomm-1.16 1.18.0-2.1
cantarell-fonts 1:0.311-1
chromaprint 1.6.0-3.1
chwd 1.21.0-1
cifs-utils 7.5-1.1
clang 22.1.6-2
compiler-rt 22.1.6-1.1
confuse 3.3-5.1
coreutils 9.11-1.1
cpio 2.15-3.1
cpupower 7.0.10-1
cryptsetup 2.8.6-1.1
curl 8.20.0-7.1
dav1d 1.5.3-1.1
db 6.2.32-4.1
db5.3 5.3.28-7.1
dbus 1.16.2-1.1
dbus-broker 37-3.1
dbus-broker-units 37-3.1
dbus-units 37-3.1
dconf 0.49.0-1.1
debugedit 5.3-1
default-cursors 3-1
desktop-file-utils 0.28-1.1
device-mapper 2.03.41-1.1
diffutils 3.12-2.1
ding-libs 0.7.0-1.1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15.1
dnsmasq 2.92.rel2-2.1
dnssec-anchors 20250524-1
dosfstools 4.2-5.1
double-conversion 3.4.0-1.1
duf 0.9.1-1.1
duktape 2.7.0-7.1
e2fsprogs 1.47.4-1.1
efibootmgr 18-4.1
efitools 1.9.2-7.1
efivar 39-2.1
elfutils 0.195-1
ell 0.83-1.1
ethtool 1:7.0-1.1
exfatprogs 1.4.1-1.1
expac 10-12.2
expat 2.8.1-1.1
eza 0.23.4-3.1
f2fs-tools 1.16.0-3.1
faac 1.50-1.1
faad2 2.11.2-1.2
fakeroot 1.38.1-1.1
fastfetch 2.63.1-1.1
fd 10.4.2-2.1
ffmpeg 2:8.1.1-2.1
ffmpeg4.4 4.4.6-5.1
ffmpegthumbnailer 2.3.0-1.1
fftw 3.3.11-1.1
file 5.47-3.1
filesystem 2025.10.12-1
findutils 4.10.0-3.1
firefox 151.0.2-1.1
fish 4.7.1-1
fish-autopair 1.0.4-2
fish-pure-prompt 4.18.0-1
fisher 4.4.8-1
flac 1.5.0-1.2
flex 2.6.4-6.1
fluidsynth 2.5.4-1.1
fmt 12.1.0-2.1
fontconfig 2:2.17.1-1.1
freeglut 3.8.0-1.1
freetype2 2.14.3-1.2
fribidi 1.0.16-2.1
fsarchiver 0.8.9-1.1
ftgl 2.4.0-3.1
fuse-common 3.18.2-1.1
fuse3 3.18.2-1.1
fzf 0.72.0-1.1
gawk 5.4.0-1.1
gc 8.2.12-1.1
gcc 16.1.1+r12+g301eb08fa2c5-2
gcc-libs 16.1.1+r12+g301eb08fa2c5-2
gcr-4 4.4.0.1-1.1
gdb 17.2-1.1
gdb-common 17.2-1.1
gdbm 1.26-2.1
gdk-pixbuf2 2.44.6-2.1
gettext 1.0-2.1
giflib 6.1.3-1.1
git 2.54.0-1.1
glances 4.5.4-1
glew 2.3.1-1.1
glib-networking 1:2.80.1-1.1
glib2 2.88.1-1.1
glibc 2.43+r22+g8362e8ce10b2-4
glibmm 2.66.8-1.1
glibmm-2.68 2.88.0-1.1
glm 1.0.3-1.1
glslang 1:1.4.350.0-1.1
glu 9.0.3-3.1
glycin 2.1.1-1.1
gmp 6.3.0-3.1
gnulib-l10n 20241231-1
gnupg 2.4.9-1.1
gnutls 3.8.13-2.1
gobject-introspection-runtime 1.86.0-2.1
gperftools 2.18.1-1.1
gpgme 2.1.0-1.1
gpgmepp 2.1.0-1.1
gpm 1.20.7.r38.ge82d1a6-6.1
graphene 1.10.8-2.1
graphite 1:1.3.14-6
grep 3.12-2.1
groff 1.24.1-1.1
grub 2:2.14-1.1
grub-hook 2.1-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsm 1.0.24-1.1
gssdp 1.6.5-1.1
gssproxy 0.9.2-3.1
gst-libav 1.28.3-1
gst-plugin-pipewire 1:1.6.6-1.1
gst-plugins-bad 1.28.3-1
gst-plugins-bad-libs 1.28.3-1
gst-plugins-base-libs 1.28.3-1
gst-plugins-ugly 1.28.3-1
gstreamer 1.28.3-1
gtest 1.17.0-2.1
gtk-update-icon-cache 1:4.22.4-1.1
gtk3 1:3.24.52-1.1
gtk4 1:4.22.4-1.1
gtkmm-4.0 4.22.0-1.1
gtkmm3 3.24.10-1.2
gtksourceview4 4.8.4-2.1
guile 3.0.11-1.1
gupnp 1:1.6.10-1.1
gupnp-igd 1.6.0-2.1
gzip 1.14-2
harfbuzz 14.2.0-1.1
hdparm 9.65-3.1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1.1
highway 1.4.0-1.1
hwdata 0.407-1
hwdetect 2025.08.16.1333-1
hwinfo 25.2-1.1
iana-etc 20260530-1
icu 78.3-1.1
imagemagick 7.1.2.24-1.1
imath 3.2.2-6.1
imlib2 1.12.6-1.1
inetutils 2.8-1.1
intel-ucode 20260512-1
inxi 3.3.40.1-1
iproute2 7.0.0-1.1
iptables 1:1.8.13-1.1
iputils 20250605-1.1
iso-codes 4.20.1-1
iw 6.17-1.1
iwd 3.12-1.1
jack 0.126.0-6
jansson 2.15.0-1.1
jbigkit 2.1-8.1
jemalloc 1:5.3.1-2.1
jfsutils 1.1.15-9.1
jq 1.8.1-3.1
json-c 0.18-2.1
json-glib 1.10.8-1.1
kbd 2.9.0-1.1
kcolorscheme 6.26.0-2.1
kconfig 6.26.0-1.1
kcoreaddons 6.26.0-1.1
kcrash 6.26.0-1.1
kdbusaddons 6.26.0-1.1
keyutils 1.6.3-4.1
kguiaddons 6.26.0-2.1
ki18n 6.26.0-1.1
kmod 34.2-1
knotifications 6.26.0-1.1
krb5 1.22.2-1.1
kwallet 6.26.0-1.1
kwidgetsaddons 6.26.0-1.1
kwindowsystem 6.26.0-2.1
l-smash 2.14.5-4.1
lame 3.101.r6531-1.1
lcms2 2.19.1-1.1
ldb 2:4.24.3-1.1
leancrypto 1.7.2-1.1
less 1:702-1.1
libaio 0.3.113-4.1
libarchive 3.8.7-1.1
libasan 16.1.1+r12+g301eb08fa2c5-2
libass 0.17.4-2.1
libassuan 3.0.0-1.1
libasyncns 1:0.8+r3+g68cd5af-3.2
libatomic 16.1.1+r12+g301eb08fa2c5-2
libavc1394 0.5.4-7.1
libavtp 0.2.0-3.1
libb2 0.98.1-3.1
libbluray 1.4.1-1.1
libbpf 1.7.0-1.1
libbs2b 3.1.0-10.1
