a52dec 0.8.0-3
aalib 1.4rc5-19
abseil-cpp 20260107.1-1
accountsservice 26.13.3-1
acl 2.3.2-2
acpi 1.8-2
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.17.0-1
alsa-card-profiles 1:1.6.6-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.16-1
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16-1
alsa-utils 1.2.16-1
ananicy-cpp 1.2.0-1
aom 3.14.1-1
arandr 0.1.11-6
archlinux-keyring 20260420-2
archlinux-xdg-menu 0.7.7-1
aribb24 1.0.3-4
aribb25 0.2.7-3
at-spi2-core 2.60.4-1
attr 2.5.2-2
audit 4.1.4-2
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc4-1
awesome-terminal-fonts 1.1.0-5
base 3-3
base-devel 1-2
bash 5.3.9-1
bash-completion 2.17.0-3
bat 0.26.1-2
bind 9.20.23-1
binutils 2.46+r70+g155188ea10a7-1
bison 3.8.2-8
bluez 5.86-6
bluez-hid2hci 5.86-6
bluez-libs 5.86-6
bluez-obex 5.86-6
bluez-utils 5.86-6
boost-libs 1.91.0-1
bpf 7.0.10-1
brotli 1.2.0-1
btop 1.4.7-1
btrfs-progs 7.0-1
bubblewrap 0.11.2-1
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.124-1
ca-certificates-utils 20240618-1
cachyos-ananicy-rules 1:1.1.39-1
cachyos-fish-config 15-1
cachyos-grub-theme 1.0.0-1
cachyos-hello 0.24.0-1
cachyos-hooks 2026.02.05-1
cachyos-kernel-manager 1.18.1-1
cachyos-keyring 20240331-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 27-1
cachyos-packageinstaller 1.6.2-1
cachyos-plymouth-bootanimation 2-3
cachyos-plymouth-theme 1-1
cachyos-rate-mirrors 23-2
cachyos-settings 1:1.3.5-1
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
cachyos-wallpapers r23.964263e-1
cachyos-zsh-config 1.0.3-1
cairo 1.18.4-1
cairomm-1.16 1.18.1-1
cantarell-fonts 1:0.311-1
chromaprint 1.6.0-3
chwd 1.21.1-1
cifs-utils 7.5-1
clang 22.1.6-1
compiler-rt 22.1.6-1
confuse 3.3-5
coreutils 9.11-1
cpio 2.15-3
cpupower 7.0.10-1
cryptsetup 2.8.6-1
curl 8.20.0-7
dav1d 1.5.3-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-units 37-3
dconf 0.49.0-1
debugedit 5.3-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.41-1
dex 0.10.1-1
diffutils 3.12-2
ding-libs 0.7.0-1
dmenu 5.4-1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.92.rel2-2
dnssec-anchors 20250524-1
dosfstools 4.2-5
double-conversion 3.4.0-1
duf 0.9.1-1
duktape 2.7.0-7
dunst 1.13.2-1
e2fsprogs 1.47.4-1
efibootmgr 18-4
efitools 1.9.2-7
efivar 39-2
elfutils 0.195-1
ell 0.83-1
enchant 2.8.15-2
ethtool 1:7.0-1
exfatprogs 1.4.1-1
exo 4.20.0-2
expac 10-12
expat 2.8.1-1
eza 0.23.4-3
f2fs-tools 1.16.0-3
faac 1.50-1
faad2 2.11.2-1
fakeroot 1.38.1-1
fastfetch 2.64.0-1
fd 10.4.2-2
feh 3.12.2-1
ffmpeg 2:8.1.1-2
ffmpegthumbnailer 2.3.0-1
fftw 3.3.11-1
file 5.47-3
filesystem 2025.10.12-1
findutils 4.10.0-3
firefox 151.0.3-1
fish 4.7.1-1
fish-autopair 1.0.4-2
fish-pure-prompt 4.18.0-1
fisher 4.4.8-1
flac 1.5.0-1
flex 2.6.4-6
fluidsynth 2.5.4-1
fmt 12.1.0-2
fontconfig 2:2.18.1-1
freeglut 3.8.0-1
freetype2 2.14.3-1
fribidi 1.0.16-2
fsarchiver 0.8.9-1
ftgl 2.4.0-3
fuse-common 3.18.2-1
fuse3 3.18.2-1
fzf 0.72.0-1
gawk 5.4.0-1
gc 8.2.12-1
gcc 16.1.1+r12+g301eb08fa2c5-1
gcc-libs 16.1.1+r12+g301eb08fa2c5-1
gcr-4 4.4.0.1-1
gd 2.3.3-9
gdb 17.2-1
gdb-common 17.2-1
gdbm 1.26-2
gdk-pixbuf2 2.44.6-2
gettext 1.0-2
giflib 6.1.3-1
git 2.54.0-1
glances 4.5.4-1
glew 2.3.1-1
